id,review,class
1,"Besides the occasional crash, this is an amazing product with tons of potential depending on how you work with it!",problem discovery
2,"This could be a great app if it was predictable, but it is full of bugs and is unpredictable.  if you are able to check in, take a screen shot of your boarding pass or print a backup copy, because you may not be able to access it when you need it most.",problem discovery
3,I can't open since the last 2 updates Pop-ups go crazy on the iPhone 5! I'm uninstalling,problem discovery
4,Use to love this app but it's not working after new update. Pages won't scroll up or down...none of the different tabs work...it's frozen! Please fix ASAP!!!,problem discovery
5,"Urrrrm	After my third re installing, it finally has scenery. Before hand, it was just black shapes everywhere. I could not even see the walls. This killed my internet as it is a very big game that takes half an hour to install - if you don't like the game, their is no chance of a refund. Once I finally got the proper game, it is very pretty with smooth graphics, an amazing sound track, and some of the best scenery I've ever seen on my tablet. In the next update, I want to be seeing the right installment first time, a chance of a refund, and free roam! Free roam was the best part of the old games, I would love to have it on my tablet! Thank you ?",problem discovery
6,This app serves its purpose for me perfectly except for the mobile deposit won't work. It keeps saying can't find endorsement. After calling PNC multiple times about this still no fix.,problem discovery
7,"Album function needs improvement	Current version opens up all possible folders which includ cache files which should be selectable from settings to avoid unnecessary browsing resulting low productivity.
",problem discovery
8,I'm very disappointed that I can't open most excel files anymore! Repeated tries works occasionally but it should work every time!,problem discovery
9,"NEEDS TO BE UPDATED.	Was Fun & Challenging. Desperately in need of an update. Paid for the Allie levels SEPTEMBER 1 and still no new levels- when is ""soon""?? No new levels of the week. No updates. Used to be a favorite...",problem discovery
10,It's good if you want to browse but is horrible at letting me post anything. It stays frozen on signing in and I have to close the app.,problem discovery
11,"Crash
Crash
Crash
Crash
Crash
Get it!!!!!",problem discovery
12,Was great	It was great until apparently it updated on the 27th and now every time I try to use it I get a message the it has stopped working and it force closes! Please fix!,problem discovery
13,"The white app icon is so atrocious, I'm hiding it away in a new folder that I'm naming 'Ugly Apps' It will be joined by Photos and iBooks Some other Apple bloat-ware apps, like Game Center, Newsstand, and Passbook could go in too, but they'll just stay in my 'Crap!' folder instead",problem discovery
14,Would like it to have more edit items..,problem discovery
15,"This use to be a great app on iOS 5 Having iOS 7 and the latest version of 

Dropbox and it's really bad The new UI for viewing photos and video needs improvement to return to the way it was",problem discovery
16,"The app was awesome until the latest update  I lost a weeks worth of class notes, can't even open the program without it crashing unless I'm connected to wifi, and a complete notebook just disappeared after the password reset  Everything was great before the update, now nothing works",problem discovery
17,After the last update it crashes Please fix!,problem discovery
18,"I liked very much the upgrade to pdfs (divisions and search) However, they aren't displaying anymore Fix it and it will be perfect
Best wishes",problem discovery
19,Can't update your latest bug fix,problem discovery
20,It says error to collect calls and it won't let me up date anything it needs to be fixed,problem discovery
21,ok seriously	this app would be great if the timing adjustments weren't so erratic. i've made the same exact video a million times and it keeps coming out with an extra 2 seconds here or a bit shorter there throwing off the entire video/audio sync,problem discovery
22,The update has been installing for a week,problem discovery
